"Feature_ID","Coefficient","Chemical_Name"
"999912127",0.301323823768788,"X-12127"
"999917010",0.289554601306635,"X-17010"
"100022576",-0.220947237843841,"pyr-leu-ser"
"504",-0.195191665792783,"serotonin"
"313",0.190062185460109,"sphinganine"
"999912680",-0.17691288058342,"X-12680"
"100021261",-0.167635592837484,"leucylhydroxyproline*"
"100006262",-0.145736722298249,"4-methoxyphenol sulfate"
"100003470",-0.134446636744013,"pregnanediol-3-glucuronide"
"100020502",-0.128685217449177,"sulfate of piperine metabolite C18H21NO3 (1)*"
"100010923",-0.126752067955958,"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*"
"999913866",-0.109503873043309,"X-13866"
"100001121",0.109000172226424,"pyridoxate"
"100001145",-0.106491903012261,"3-hydroxysebacate"
"999917325",-0.105123084123904,"X-17325"
"100000924",-0.0943724861949573,"1-oleoylglycerol (18:1)"
"999926111",0.0920484711448899,"X-26111"
"999921312",0.0919477619305723,"X-21312"
"100009331",-0.0917552778665585,"oleoylcholine"
"100001755",0.0915657210950224,"4-vinylphenol sulfate"
"100006171",0.0914330556861802,"eugenol sulfate"
"1135",0.0894664645780538,"ursodeoxycholate"
"100001108",0.0885663269819809,"3-methylxanthine"
"100019794",-0.0849571494209464,"hydroxy-CMPF*"
"999912847",0.0833369242134456,"X-12847"
"798",0.0818198651140271,"adenosine"
"999917690",0.0789064125134668,"X-17690"
"100001437",-0.0783001967241054,"cysteine-glutathione disulfide"
"999911483",0.0772547538797314,"X-11483"
"999925271",-0.0768843252116599,"X-25271"
"100010919",-0.076790645322502,"oleoyl-oleoyl-glycerol (18:1/18:1) [2]*"
"100003892",-0.0693559455087929,"lanthionine"
"100001083",-0.0667157138105791,"indolepropionate"
"100010942",0.0663631386414171,"linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*"
"999912216",-0.0633441696111692,"X-12216"
"100020262",-0.0633209730423027,"glutamine conjugate of C6H10O2 (2)*"
"999919438",-0.062373203915898,"X-19438"
"100001092",-0.0604851704065524,"trigonelline (N'-methylnicotinate)"
"100020360",0.0573744762769655,"8-methoxykynurenate"
"100001586",-0.0553359242099173,"gulonate*"
"999925433",-0.0520721058711702,"X-25433"
"536",-0.0491996471729853,"2'-deoxyuridine"
"100000096",0.0451995565318737,"4-guanidinobutanoate"
"100005367",0.0439784807007726,"N-acetylalliin"
"100009264",-0.0429800100369041,"glycochenodeoxycholate glucuronide (1)"
"100002128",-0.0391918718021886,"17alpha-hydroxypregnenolone 3-sulfate"
"100001604",0.0383164454992111,"hydroquinone sulfate"
"100002014",-0.0374085616430791,"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)"
"999921607",0.0360768507365988,"X-21607"
"136",-0.0354252879232387,"cholate"
"999912729",0.0343416933710587,"X-12729"
"100001615",-0.0331191498781259,"octadecanedioate (C18-DC)"
"100006374",0.0327268464261373,"1,2,3-benzenetriol sulfate (2)"
"100001733",0.0313369386829023,"hexanoylglutamine"
"100002017",0.0307643124455347,"5alpha-androstan-3alpha,17beta-diol disulfate"
"100020014",0.0304182591083333,"glucuronide of C10H18O2 (7)*"
"100000276",-0.0289693003751963,"maltotriose"
"100003432",0.0287661264745509,"dihydroferulate"
"100020515",0.0280672308593069,"2-naphthol sulfate"
"999924411",0.0243349462324833,"X-24411"
"100020851",0.0231550145691683,"3-ethylcatechol sulfate (1)"
"100004284",-0.0226321083951895,"dimethyl sulfone"
"100001269",0.0218964179180376,"campesterol"
"100009337",-0.0216344003432416,"caffeic acid sulfate"
"100001026",-0.0189000017753811,"galactonate"
"100010922",-0.0185926345881797,"linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*"
"100004083",-0.0172004763152371,"glycohyocholate"
"100000846",0.0155947781792343,"erythritol"
"999921319",-0.0147399800908265,"X-21319"
"100000008",0.0144084033277363,"benzoate"
"100001454",-0.0140175030696616,"3-hydroxydodecanedioate*"
"999921285",0.0137629366302333,"X-21285"
"100001104",0.0130768096182389,"N-acetyltyrosine"
"100003008",-0.012399610666538,"2-stearoyl-GPI (18:0)*"
"100020214",-0.0111073074343835,"glyco-beta-muricholate**"
"100004299",-0.0103073604538331,"N-acetyl-1-methylhistidine*"
"100010937",-0.0101789002744671,"oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*"
"826",0.00939387208601464,"xylose"
"100003473",0.00872885814265312,"alliin"
"100020542",0.00862715757884936,"11beta-hydroxyetiocholanolone glucuronide*"
"999912851",-0.00796146926204551,"X-12851"
"999915728",0.00715432897413541,"X-15728"
"999925419",0.00436548716151424,"X-25419"
"999921821",-0.00341212311694926,"X-21821"
"999912906",-0.00317725295840478,"X-12906"
"999917676",0.00172388378731029,"X-17676"
"100021712",-0.000899148459106083,"deoxycholic acid 12-sulfate*"
"100003679",-0.000265772200322832,"prolylserine"
